Time,Device name设备名称,Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:50:07.533,WT901BLE68(d8:09:5a:ca:b6:e0), 0.92, 0.898, 0.998, 0.366, -1.343, -1.526, 121.646, -9.932, -90.483, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.535,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.979, -0.101, 0.146, 0, 0.977, 0.244, -35.09, -79.937, -142.844, -13.132, -37.828, 0.294, 31.38, -0.05573, 0.66525, -0.02762, 0.74396,
 14:50:07.537,WT901BLE68(d8:09:5a:ca:b6:e0), 0.918, 0.906, 0.995, 1.587, -0.305, -2.258, 121.855, -10.107, -90.703, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.544,WT901BLE68(d8:09:5a:ca:b6:e0), 0.922, 0.908, 0.995, 1.831, -0.061, -3.479, 122.151, -10.135, -90.945, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.548,WT901BLE68(d8:09:5a:ca:b6:e0), 0.922, 0.911, 0.999, -2.991, -0.61, -4.089, 122.371, -10.091, -91.214, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.556,WT901BLE68(d8:09:5a:ca:b6:e0), 0.921, 0.921, 0.997, 0.305, 0.366, -1.648, 122.382, -10.14, -91.456, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.567,WT901BLE68(d8:09:5a:ca:b6:e0), 0.924, 0.923, 0.995, 1.404, 0.427, -3.296, 122.574, -10.162, -91.626, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.652,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.981, -0.1, 0.145, 0, 0.916, -1.221, -34.722, -79.882, -143.212, -12.446, -37.828, 0.000, 31.38, -0.04834, 0.65329, -0.02322, 0.75513,
 14:50:07.678,WT901BLE68(d8:09:5a:ca:b6:e0), 0.923, 0.938, 0.996, 0.244, 0.549, -2.625, 122.756, -10.118, -91.818, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.741,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.976, -0.093, 0.147, -0.671, 1.465, -2.258, -33.497, -79.909, -144.487, -12.446, -37.828, 0.000, 31.38, -0.04834, 0.65329, -0.02322, 0.75513,
 14:50:07.798,WT901BLE68(d8:09:5a:ca:b6:e0), 0.923, 0.93, 0.996, -0.183, -0.183, -0.916, 122.8, -10.239, -91.868, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.863,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.978, -0.093, 0.155, 0, 1.404, 2.441, -33.14, -79.761, -144.844, -12.446, -37.828, 0.000, 31.38, -0.04834, 0.65329, -0.02322, 0.75513,
 14:50:07.919,WT901BLE68(d8:09:5a:ca:b6:e0), 0.922, 0.933, 0.997, -0.488, 0.488, 0, 122.767, -10.382, -91.829, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:07.921,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.975, -0.1, 0.15, -0.061, 0.366, 0.244, -33.75, -79.629, -144.207, -12.446, -37.828, 0.000, 31.38, -0.04834, 0.65329, -0.02322, 0.75513,
 14:50:07.949,WT901BLE68(d8:09:5a:ca:b6:e0), 0.92, 0.932, 0.999, -0.244, 0.061, 1.16, 122.701, -10.558, -91.73, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.043,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.982, -0.096, 0.152, 0.549, 0, -0.061, -33.426, -79.645, -144.509, -12.446, -37.828, 0.000, 31.38, -0.04834, 0.65329, -0.02322, 0.75513,
 14:50:08.073,WT901BLE68(d8:09:5a:ca:b6:e0), 0.92, 0.927, 0.998, -0.61, -1.404, 1.953, 122.613, -10.871, -91.609, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.160,WT901BLE68(d8:09:5a:ca:b6:e0), 0.92, 0.926, 0.995, -0.305, -1.465, -0.427, 122.629, -11.146, -91.642, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.163,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.98, -0.103, 0.148, 0, 0.244, -0.244, -33.431, -79.601, -144.421, -12.348, -37.926, 0.098, 31.38, -0.04834, 0.65329, -0.02322, 0.75513,
 14:50:08.253,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.978, -0.094, 0.15, -0.244, 0.61, -1.648, -32.552, -79.656, -145.333, -12.348, -37.926, 0.098, 31.38, -0.04776, 0.65036, -0.02222, 0.75772,
 14:50:08.277,WT901BLE68(d8:09:5a:ca:b6:e0), 0.925, 0.927, 0.994, -0.793, 0.977, -1.953, 122.646, -11.212, -91.719, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.342,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.979, -0.094, 0.155, -0.061, 0.977, 0.183, -32.042, -79.585, -145.871, -12.348, -37.926, 0.098, 31.38, -0.04776, 0.65036, -0.02222, 0.75772,
 14:50:08.370,WT901BLE68(d8:09:5a:ca:b6:e0), 0.923, 0.935, 0.998, -1.404, 1.709, -3.662, 122.602, -11.041, -91.813, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.463,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.979, -0.097, 0.155, -0.305, 1.953, -0.549, -31.707, -79.475, -146.201, -12.348, -37.926, 0.098, 31.38, -0.04776, 0.65036, -0.02222, 0.75772,
 14:50:08.489,WT901BLE68(d8:09:5a:ca:b6:e0), 0.925, 0.939, 1.002, -1.16, 0.488, -3.357, 122.574, -10.871, -91.956, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.522,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.981, -0.092, 0.159, -0.793, -0.854, -7.019, -29.839, -79.645, -148.184, -12.348, -37.926, 0.098, 31.38, -0.04776, 0.65036, -0.02222, 0.75772,
 14:50:08.578,WT901BLE68(d8:09:5a:ca:b6:e0), 0.923, 0.949, 0.999, -0.488, -3.906, -0.977, 122.69, -11.052, -92.291, -55.762, 39.690, 45.178, 30.14, 0.70258, 0.07791, -0.41113, -0.57547,
 14:50:08.642,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.986, -0.07, 0.158, -1.953, 0.916, -12.146, -25.241, -80.085, -152.963, -12.348, -37.926, 0.098, 31.38, -0.04776, 0.65036, -0.02222, 0.75772,
