Time,Device name设备名称,Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:47:36.237,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.996, 0.042, -0.032, -0.793, 1.831, -3.845, 128.265, -87.209, 17.968, -19.502, -47.432, -30.870, 31.45, -0.20798, -0.68982, 0.20038, -0.66382,
 14:47:36.237,WT901BLE68(cc:c4:7a:a1:fe:ea), 1.046, 0.041, -0.033, -0.977, 1.709, -3.784, 126.788, -87.171, 19.429, -19.502, -47.432, -30.870, 31.45, -0.20798, -0.68982, 0.20038, -0.66382,
 14:47:36.266,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.985, 0.097, -0.038, 1.77, -6.104, 1.587, 126.486, -87.122, 19.72, -19.502, -47.432, -30.870, 31.45, -0.20798, -0.68982, 0.20038, -0.66382,
 14:47:36.267,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.988, 0.043, -0.024, -0.671, -0.671, -3.662, 125.821, -87.061, 20.363, -19.502, -47.432, -30.870, 31.45, -0.20798, -0.68982, 0.20038, -0.66382,
 14:47:36.315,WT901BLE68(d8:09:5a:ca:b6:e0), 1.001, -0.11, 0.051, 1.465, 4.028, 1.282, -65.045, -83.079, 97.064, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.315,WT901BLE68(d8:09:5a:ca:b6:e0), 1.006, -0.109, 0.058, 0.977, 3.174, 1.099, -64.605, -83.035, 96.647, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.317,WT901BLE68(d8:09:5a:ca:b6:e0), 1.006, -0.109, 0.055, 0.793, 2.441, 0.977, -64.308, -82.996, 96.367, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.317,WT901BLE68(d8:09:5a:ca:b6:e0), 1.005, -0.112, 0.053, 0.732, 2.258, 1.099, -64.061, -82.958, 96.136, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.319,WT901BLE68(d8:09:5a:ca:b6:e0), 1.006, -0.112, 0.052, 0.671, 2.258, 1.038, -63.82, -82.919, 95.905, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.319,WT901BLE68(d8:09:5a:ca:b6:e0), 1.008, -0.109, 0.053, 0.793, 2.319, 1.221, -63.567, -82.886, 95.669, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.319,WT901BLE68(d8:09:5a:ca:b6:e0), 1.006, -0.111, 0.055, 0.732, 2.197, 1.648, -63.358, -82.842, 95.471, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.319,WT901BLE68(d8:09:5a:ca:b6:e0), 1.006, -0.115, 0.057, 0.732, 1.892, 1.831, -63.21, -82.793, 95.328, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.321,WT901BLE68(d8:09:5a:ca:b6:e0), 1.006, -0.115, 0.055, 0.916, 1.77, 1.953, -63.1, -82.749, 95.235, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.321,WT901BLE68(d8:09:5a:ca:b6:e0), 1.008, -0.11, 0.055, 1.099, 1.77, 2.014, -62.99, -82.7, 95.142, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.323,WT901BLE68(d8:09:5a:ca:b6:e0), 1.007, -0.115, 0.056, 0.916, 1.648, 2.014, -62.908, -82.65, 95.07, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.323,WT901BLE68(d8:09:5a:ca:b6:e0), 1.009, -0.113, 0.058, 0.916, 1.099, 2.502, -62.891, -82.601, 95.07, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.325,WT901BLE68(d8:09:5a:ca:b6:e0), 1.002, -0.115, 0.06, 0.916, 0.671, 2.991, -62.968, -82.546, 95.164, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.325,WT901BLE68(d8:09:5a:ca:b6:e0), 1.001, -0.118, 0.063, 0.854, 0.183, 3.174, -63.133, -82.491, 95.339, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.327,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.988, 0.043, -0.031, -0.671, -0.732, -3.601, 125.524, -86.995, 20.649, -19.502, -47.432, -30.870, 31.45, -0.20798, -0.68982, 0.20038, -0.66382,
 14:47:36.327,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.986, 0.051, -0.029, -0.732, -0.793, -3.54, 124.975, -86.929, 21.176, -19.502, -47.432, -30.870, 31.45, -0.20798, -0.68982, 0.20038, -0.66382,
 14:47:36.329,WT901BLE68(d8:09:5a:ca:b6:e0), 1.003, -0.119, 0.059, 0.916, 0.732, 3.357, -63.287, -82.43, 95.51, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.329,WT901BLE68(d8:09:5a:ca:b6:e0), 1.005, -0.114, 0.058, 1.16, 1.77, 3.54, -63.314, -82.365, 95.554, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.329,WT901BLE68(d8:09:5a:ca:b6:e0), 1.009, -0.122, 0.059, 1.16, 2.747, 4.15, -63.232, -82.282, 95.504, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.330,WT901BLE68(d8:09:5a:ca:b6:e0), 1.007, -0.12, 0.06, 0.671, 3.296, 5.127, -63.127, -82.172, 95.416, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.330,WT901BLE68(d8:09:5a:ca:b6:e0), 1.006, -0.125, 0.062, 0.977, 2.808, 5.676, -63.083, -82.057, 95.389, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.330,WT901BLE68(d8:09:5a:ca:b6:e0), 1.004, -0.122, 0.061, 0.488, 2.258, 5.981, -63.138, -81.936, 95.455, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.331,WT901BLE68(d8:09:5a:ca:b6:e0), 1.001, -0.122, 0.062, 0.916, 1.648, 7.263, -63.325, -81.804, 95.658, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.331,WT901BLE68(d8:09:5a:ca:b6:e0), 1.006, -0.132, 0.062, 0.427, 1.221, 8.24, -63.627, -81.656, 95.977, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.331,WT901BLE68(d8:09:5a:ca:b6:e0), 1.001, -0.131, 0.061, 0.671, 0.427, 8.911, -64.034, -81.508, 96.405, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.331,WT901BLE68(d8:09:5a:ca:b6:e0), 1.009, -0.129, 0.068, 0.854, -0.977, 8.301, -64.561, -81.359, 96.949, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.332,WT901BLE68(d8:09:5a:ca:b6:e0), 0.996, -0.151, 0.072, 0.488, 1.77, 11.23, -65.05, -81.167, 97.471, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.336,WT901BLE68(d8:09:5a:ca:b6:e0), 1.026, -0.138, 0.064, 2.808, 3.113, 12.573, -65.38, -80.958, 97.855, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.336,WT901BLE68(d8:09:5a:ca:b6:e0), 1, -0.142, 0.064, 1.099, 2.38, 14.221, -65.709, -80.695, 98.218, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.337,WT901BLE68(d8:09:5a:ca:b6:e0), 1.031, -0.173, 0.046, -0.305, 3.296, 18.494, -66.149, -80.42, 98.668, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.337,WT901BLE68(d8:09:5a:ca:b6:e0), 0.94, -0.117, 0.072, -0.305, 2.93, 17.395, -66.583, -80.151, 99.113, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.337,WT901BLE68(d8:09:5a:ca:b6:e0), 0.953, -0.261, 0.052, -1.465, 4.761, 6.531, -66.923, -79.893, 99.432, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.337,WT901BLE68(d8:09:5a:ca:b6:e0), 0.976, -0.198, 0.086, 0, 2.136, 10.925, -67.148, -79.651, 99.641, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.337,WT901BLE68(d8:09:5a:ca:b6:e0), 0.961, -0.171, 0.085, 1.038, 2.258, 8.85, -67.253, -79.453, 99.75, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.337,WT901BLE68(d8:09:5a:ca:b6:e0), 1.004, -0.229, 0.06, -1.343, 3.601, 0, -67.269, -79.343, 99.772, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.337,WT901BLE68(d8:09:5a:ca:b6:e0), 0.998, -0.157, 0.055, 0.854, 1.099, 6.165, -67.412, -79.244, 99.948, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.352,WT901BLE68(d8:09:5a:ca:b6:e0), 0.991, -0.175, 0.072, 1.587, -0.183, 4.395, -67.538, -79.14, 100.091, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.352,WT901BLE68(d8:09:5a:ca:b6:e0), 1.003, -0.185, 0.073, 1.343, -0.122, 3.418, -67.676, -79.074, 100.261, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.357,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.948, 0.047, -0.023, -0.977, -1.099, -2.625, 124.607, -86.869, 21.528, -19.502, -47.432, -30.870, 31.45, -0.20798, -0.68982, 0.20038, -0.66382,
 14:47:36.357,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.986, 0.025, -0.021, -0.671, -3.357, -1.953, 125.475, -86.808, 20.649, -19.502, -47.432, -30.870, 31.45, -0.20798, -0.68982, 0.20038, -0.66382,
 14:47:36.383,WT901BLE68(d8:09:5a:ca:b6:e0), 0.999, -0.171, 0.069, 1.892, -0.61, 2.197, -67.764, -79.03, 100.393, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.383,WT901BLE68(d8:09:5a:ca:b6:e0), 0.996, -0.183, 0.076, 0.732, -1.282, 2.502, -67.906, -78.992, 100.552, -9.800, 39.200, -23.226, 30.06, 0.68243, 0.1535, -0.67523, 0.2338,
 14:47:36.387,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.994, 0.05, -0.027, -0.366, -3.174, -2.075, 125.815, -86.737, 20.292, -18.620, -47.432, -31.066, 31.45, -0.20798, -0.68982, 0.20038, -0.66382,
