Time,Device name设备名称,Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:51:34.493,WT901BLE68(d8:09:5a:ca:b6:e0), -0.097, -0.992, 0.038, 1.465, -0.793, 0.671, -87.973, 5.521, 113.698, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
 14:51:34.493,WT901BLE68(d8:09:5a:ca:b6:e0), -0.098, -0.99, 0.04, 1.526, -0.671, 0.366, -87.946, 5.526, 113.741, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
 14:51:34.498,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.995, 0.005, 0.031, 0.244, -1.282, -0.549, 0.341, -88.088, 152.281, -22.736, -54.292, -26.558, 31.87, -0.17075, -0.6701, 0.17029, -0.70193,
 14:51:34.498,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.995, 0.006, 0.031, 0.244, -0.977, -0.244, 0.659, -88.11, 151.99, -22.736, -54.292, -26.558, 31.87, -0.17075, -0.6701, 0.17029, -0.70193,
 14:51:34.530,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.995, 0.006, 0.03, 0.305, -0.488, 0, 0.829, -88.121, 151.853, -22.736, -54.292, -26.558, 31.87, -0.17075, -0.6701, 0.17029, -0.70193,
 14:51:34.530,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.996, 0.005, 0.03, 0.366, -0.061, 0.183, 0.868, -88.127, 151.837, -22.736, -54.292, -26.558, 31.87, -0.17075, -0.6701, 0.17029, -0.70193,
 14:51:34.532,WT901BLE68(d8:09:5a:ca:b6:e0), -0.098, -0.993, 0.038, 1.526, -0.488, 0.122, -87.913, 5.532, 113.774, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
 14:51:34.532,WT901BLE68(d8:09:5a:ca:b6:e0), -0.099, -0.994, 0.035, 1.77, -0.427, 0.061, -87.88, 5.537, 113.807, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
 14:51:34.534,WT901BLE68(d8:09:5a:ca:b6:e0), -0.098, -0.994, 0.036, 2.136, -0.427, -0.061, -87.841, 5.537, 113.84, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
 14:51:34.534,WT901BLE68(d8:09:5a:ca:b6:e0), -0.097, -0.993, 0.04, 2.441, -0.488, -0.427, -87.797, 5.532, 113.879, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
 14:51:34.534,WT901BLE68(d8:09:5a:ca:b6:e0), -0.097, -0.994, 0.042, 2.747, -0.61, -0.549, -87.742, 5.515, 113.906, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
 14:51:34.534,WT901BLE68(d8:09:5a:ca:b6:e0), -0.094, -0.991, 0.044, 2.563, -0.488, -1.038, -87.693, 5.499, 113.945, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
 14:51:34.534,WT901BLE68(d8:09:5a:ca:b6:e0), -0.094, -0.993, 0.043, 2.258, -0.427, -0.854, -87.643, 5.482, 113.983, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
 14:51:34.534,WT901BLE68(d8:09:5a:ca:b6:e0), -0.096, -0.994, 0.042, 1.648, -0.244, -0.61, -87.605, 5.471, 114.011, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
 14:51:34.540,WT901BLE68(d8:09:5a:ca:b6:e0), -0.096, -0.994, 0.044, 0.977, 0, -0.549, -87.583, 5.46, 114.027, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
 14:51:34.540,WT901BLE68(d8:09:5a:ca:b6:e0), -0.094, -0.997, 0.042, 0.671, 0.122, -0.183, -87.572, 5.455, 114.055, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
 14:51:34.540,WT901BLE68(d8:09:5a:ca:b6:e0), -0.093, -0.997, 0.04, 0.671, 0.122, 0.061, -87.561, 5.455, 114.071, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
 14:51:34.540,WT901BLE68(d8:09:5a:ca:b6:e0), -0.095, -0.995, 0.039, 0.977, 0.244, 0.122, -87.545, 5.455, 114.093, 38.024, -10.878, -18.816, 31.49, 0.36896, -0.40808, -0.56189, 0.61768,
