Time,Device name设备名称,Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 11:20:29.578,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.99, -0.045, 0.099, -1.831, 0.122, 1.892, -25.329, -83.881, -173.743, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.580,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.987, -0.047, 0.099, -2.197, 0.061, 2.075, -25.692, -83.859, -173.419, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.580,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.992, -0.047, 0.097, -2.319, 0.122, 2.197, -26.071, -83.842, -173.073, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.580,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.99, -0.05, 0.096, -2.014, 0.244, 2.014, -26.45, -83.82, -172.738, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.604,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.989, -0.052, 0.098, -2.075, 0.183, 1.953, -26.79, -83.798, -172.436, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.604,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.988, -0.047, 0.099, -1.709, 0.244, 1.831, -27.092, -83.776, -172.161, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.665,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.991, -0.057, 0.099, -1.587, 0.183, 1.587, -27.383, -83.754, -171.903, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.665,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.99, -0.057, 0.098, -0.854, 0.183, 0.916, -27.548, -83.738, -171.749, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.695,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.992, -0.058, 0.101, -0.183, 0.488, 0.366, -27.603, -83.721, -171.7, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.695,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.991, -0.056, 0.099, 0.244, 0.671, -0.244, -27.565, -83.71, -171.738, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.725,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.991, -0.057, 0.097, 0.305, 0.732, -0.427, -27.477, -83.699, -171.821, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.725,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.991, -0.053, 0.1, 0.61, 0.916, -0.793, -27.296, -83.694, -171.985, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.785,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.988, -0.049, 0.1, 0.61, 0.916, -0.854, -27.092, -83.683, -172.172, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.785,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.988, -0.051, 0.097, 0.427, 1.038, -0.916, -26.884, -83.672, -172.375, -19.502, -54.684, -20.482, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.817,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.989, -0.054, 0.1, 0.732, 1.282, -1.099, -26.625, -83.655, -172.623, -20.188, -54.194, -20.874, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.817,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.99, -0.05, 0.107, 0.427, 1.465, -1.038, -26.34, -83.639, -172.892, -20.188, -54.194, -20.874, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.845,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.99, -0.051, 0.099, 0.61, 1.221, -0.793, -26.125, -83.622, -173.095, -20.188, -54.194, -20.874, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.845,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.989, -0.05, 0.1, 1.099, 1.404, -0.916, -25.862, -83.606, -173.342, -20.188, -54.194, -20.874, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.905,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.993, -0.047, 0.102, 1.343, 1.892, -1.038, -25.554, -83.584, -173.617, -20.188, -54.194, -20.874, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.905,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.991, -0.054, 0.102, 1.16, 2.258, -1.343, -25.203, -83.557, -173.947, -20.188, -54.194, -20.874, 30.85, 0.10709, 0.66177, -0.12204, 0.73184,
 11:20:29.935,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.992, -0.057, 0.106, 1.77, 2.563, -2.258, -24.714, -83.524, -174.408, -20.188, -54.194, -20.874, 30.85, 0.10672, 0.6579, -0.12823, 0.73431,
 11:20:29.935,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.994, -0.049, 0.103, 1.77, 2.93, -2.869, -24.088, -83.496, -175.001, -20.188, -54.194, -20.874, 30.85, 0.10672, 0.6579, -0.12823, 0.73431,
 11:20:29.964,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.989, -0.044, 0.101, 2.502, 3.418, -2.991, -23.395, -83.458, -175.649, -20.188, -54.194, -20.874, 30.85, 0.10672, 0.6579, -0.12823, 0.73431,
 11:20:29.964,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.991, -0.042, 0.108, 1.831, 3.967, -2.869, -22.654, -83.408, -176.358, -20.188, -54.194, -20.874, 30.85, 0.10672, 0.6579, -0.12823, 0.73431,
 11:20:30.025,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.981, -0.041, 0.104, 1.099, 4.211, -2.869, -21.934, -83.359, -177.05, -20.188, -54.194, -20.874, 30.85, 0.10672, 0.6579, -0.12823, 0.73431,
 11:20:30.025,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.991, -0.026, 0.111, 1.282, 4.883, -2.502, -21.215, -83.287, -177.737, -20.188, -54.194, -20.874, 30.85, 0.10672, 0.6579, -0.12823, 0.73431,
 11:20:30.055,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.983, -0.03, 0.113, 0, 4.7, -0.977, -20.709, -83.21, -178.237, -20.188, -54.194, -20.874, 30.85, 0.10672, 0.6579, -0.12823, 0.73431,
 11:20:30.055,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.983, -0.033, 0.113, -0.732, 4.395, 0.305, -20.462, -83.128, -178.489, -20.188, -54.194, -20.874, 30.85, 0.10672, 0.6579, -0.12823, 0.73431,
 11:20:30.085,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.989, -0.037, 0.113, -1.587, 3.906, 1.526, -20.435, -83.051, -178.544, -20.188, -54.194, -20.874, 30.85, 0.10672, 0.6579, -0.12823, 0.73431,
 11:20:30.085,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.986, -0.043, 0.117, -1.221, 3.906, 1.404, -20.495, -82.969, -178.506, -20.188, -54.194, -20.874, 30.85, 0.10672, 0.6579, -0.12823, 0.73431,
 11:20:30.145,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.989, -0.043, 0.113, -0.183, 4.028, 0.61, -20.446, -82.892, -178.561, -20.188, -54.194, -20.874, 30.85, 0.10672, 0.6579, -0.12823, 0.73431,
 11:20:30.146,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.991, -0.051, 0.117, -0.244, 4.395, 0.244, -20.292, -82.815, -178.726, -20.188, -54.194, -20.874, 30.85, 0.10672, 0.6579, -0.12823, 0.73431,
 11:20:30.175,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.998, -0.049, 0.129, -0.488, 4.456, 0, -20.078, -82.733, -178.945, -20.188, -54.194, -20.874, 30.85, 0.10672, 0.6579, -0.12823, 0.73431,
