Time,Device name设备名称,Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 10:17:34.381,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.997, 0.127, 0.102, -3.235, 2.319, -2.197, 50.477, -79.915, -74.114, -38.808, 25.382, 9.604, 29.9, -0.71548, 0.08792, 0.66525, 0.19412,
 10:17:34.383,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.991, 0.097, 0.094, -0.854, 3.723, -3.601, 50.378, -79.832, -74.048, -38.808, 25.382, 9.604, 29.9, -0.71548, 0.08792, 0.66525, 0.19412,
 10:17:34.408,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.99, 0.139, 0.107, 0.916, 4.883, -5.188, 50.334, -79.7, -74.004, -38.808, 25.382, 9.604, 29.9, -0.71548, 0.08792, 0.66525, 0.19412,
 10:17:34.408,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.97, 0.136, 0.111, 0.854, 5.371, -6.042, 50.312, -79.557, -73.965, -38.808, 25.382, 9.604, 29.9, -0.71548, 0.08792, 0.66525, 0.19412,
 10:17:34.462,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.955, 0.151, 0.118, 0.549, 5.615, -6.226, 50.295, -79.398, -73.943, -38.808, 25.382, 9.604, 29.9, -0.71548, 0.08792, 0.66525, 0.19412,
 10:17:34.462,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.953, 0.164, 0.116, -1.526, 5.005, -6.409, 50.295, -79.239, -73.96, -38.808, 25.382, 9.604, 29.9, -0.71548, 0.08792, 0.66525, 0.19412,
 10:17:34.487,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.96, 0.155, 0.146, -2.808, 5.066, -5.31, 50.235, -79.096, -73.965, -38.808, 25.382, 9.604, 29.9, -0.71548, 0.08792, 0.66525, 0.19412,
 10:17:34.487,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.96, 0.125, 0.126, 1.282, 5.249, -4.456, 50.136, -78.959, -73.867, -38.808, 25.382, 9.604, 29.9, -0.71548, 0.08792, 0.66525, 0.19412,
 10:17:34.539,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.974, 0.164, 0.115, 3.906, 5.493, -4.211, 50.07, -78.821, -73.746, -38.808, 25.382, 9.604, 29.9, -0.71548, 0.08792, 0.66525, 0.19412,
 10:17:34.539,WT901BLE68(cc:c4:7a:a1:fe:ea), 0.962, 0.156, 0.132, 3.174, 4.761, -3.296, 49.977, -78.706, -73.597, -38.808, 25.382, 9.604, 29.9, -0.71548, 0.08792, 0.66525, 0.19412,
