,Elapsed Time(s),Left Stride Interval(s),Right Stride Interval(s),Left Swing Interval(s),Right Swing Interval(s),Left Swing Interval(%),Right Swing Interval(%),Left Stance Interval(s),Right Stance Interval(s),Left Stance Interval(%),Right Stance Interval(%),Double Support Interval(s),Double Support Interval(%)
0,2.24,2.24,0.78,0.84,0.28,37.49999999999999,29.166666666666668,1.4000000000000004,0.5,62.500000000000014,57.40740740740742,0.44000000000000006,40.74074074074075
1,2.24,2.24,0.78,0.76,0.28,33.92857142857142,29.166666666666668,1.4800000000000002,0.5,66.07142857142857,57.40740740740742,0.44000000000000006,40.74074074074075
2,2.24,2.24,1.06,0.76,0.42,33.92857142857142,39.62264150943396,1.4800000000000002,0.6400000000000001,66.07142857142857,60.377358490566046,1.6500000000000004,73.66071428571429
3,2.24,2.24,1.08,0.82,0.46,36.60714285714285,42.592592592592595,1.4200000000000004,0.6200000000000001,63.39285714285715,57.40740740740742,1.6,71.42857142857143
4,2.08,2.08,1.06,0.68,0.44,32.69230769230769,41.50943396226415,1.4,0.6200000000000001,67.3076923076923,58.49056603773586,1.52,73.07692307692307
5,2.4,2.4,0.78,0.9,0.28,37.5,29.166666666666668,1.5,0.5,62.5,57.40740740740742,0.44000000000000006,40.74074074074075
6,2.22,2.22,0.78,0.82,0.28,36.93693693693693,29.166666666666668,1.4000000000000004,0.5,63.063063063063076,57.40740740740742,0.44000000000000006,40.74074074074075
7,2.08,2.08,0.78,0.8,0.28,38.46153846153847,29.166666666666668,1.28,0.5,61.53846153846154,57.40740740740742,0.44000000000000006,40.74074074074075
8,1.18,2.08,1.18,0.68,0.42,32.69230769230769,35.59322033898305,1.28,0.76,61.53846153846154,64.40677966101696,0.44000000000000006,40.74074074074075
9,1.14,2.08,1.14,0.68,0.44,32.69230769230769,38.59649122807018,1.28,0.7,61.53846153846154,61.40350877192983,0.44000000000000006,40.74074074074075
10,0.96,2.08,0.96,0.68,0.28,32.69230769230769,29.166666666666668,1.28,0.6799999999999999,61.53846153846154,70.83333333333333,0.44000000000000006,40.74074074074075
11,0.78,2.08,0.78,0.68,0.28,32.69230769230769,35.8974358974359,1.28,0.5,61.53846153846154,64.1025641025641,0.44000000000000006,40.74074074074075
12,1.06,2.24,1.06,0.76,0.42,33.92857142857142,39.62264150943396,1.4800000000000002,0.6400000000000001,66.07142857142857,60.377358490566046,0.4700000000000001,44.33962264150944
13,1.08,2.24,1.08,0.82,0.46,36.60714285714285,42.592592592592595,1.4200000000000004,0.6200000000000001,63.39285714285715,57.40740740740742,0.44000000000000006,40.74074074074075
14,1.06,2.08,1.06,0.68,0.44,32.69230769230769,41.50943396226415,1.4,0.6200000000000001,67.3076923076923,58.49056603773586,0.5,47.16981132075471
